item_name,synonym
Receiver drive up bell,receiver drive up bell
Receptacle Replugs,receptacle replugs
Regular HelperHours Difference,regular helperhours difference
Repairs,repairs
Rust remover and sand paper,rust remover and sand paper
Rustoleum paint,rustoleum paint
S/0 cable,s/0 cable
S/0 connectors,s/0 connectors
"Safety power juction box with connectors ,waterproof for freezer","safety power juction box with connectors ,waterproof for freezer"
Saftey bits,saftey bits
School bell,school bell
"Screw,pin and bolt set","screw,pin and bolt set"
Screws,screws
Sensors,sensors
Shutter Mounted Exhaust Fan,shutter mounted exhaust fan
Southwire (By-the-Foot) 2 Black Stranded CU SIMpull THHN Wire,southwire (by-the-foot) 2 black stranded cu simpull thhn wire
Southwire 100 ft. 12-Gauge/2-Gauge Solid CU MC (Metal Clad) Armorlite Cable,southwire 100 ft. 12-gauge/2-gauge solid cu mc (metal clad) armorlite cable
Southwire 100 ft. 12/2 Gray Solid CU UF-B W/G Wire,southwire 100 ft. 12/2 gray solid cu uf-b w/g wire
Southwire 250 ft. 12-Gauge/2-Gauge Solid CU MC (Metal Clad) Armorlite Cable,southwire 250 ft. 12-gauge/2-gauge solid cu mc (metal clad) armorlite cable
Spindle Mounting Bracket with Screws,spindle mounting bracket with screws
Square D 3 Pole 60amp breaker,square d 3 pole 60amp breaker
Square D Homeline 40 Amp 2-Pole Circuit Breaker(HOM240CP),square d homeline 40 amp 2-pole circuit breaker(hom240cp)
Square D QO 30 Amp 2-Pole Circuit Breaker(QO230CP),square d qo 30 amp 2-pole circuit breaker(qo230cp)
Superslick,superslick
TAYMAC N3R Extra Duty Polycarbonate Gray 1-Gang Expandable Weatherproof In-Use Electrical Outlet Cover for Outdoor Outlet,taymac n3r extra duty polycarbonate gray 1-gang expandable weatherproof in-use electrical outlet cover for outdoor outlet
TR. switch,tr. switch
TV Mount,tv mount
Tap screws,tap screws
Termination Materials & Connectors,termination materials & connectors
Thermostat,thermostat
Total,total
Transformer,transformer
Troubleshot dryer circuit,troubleshot dryer circuit
"Twister ProFLEX, Wire Connector + Electrical Tape","twister proflex, wire connector + electrical tape"
Unbranded 50 ft. 12 Gauge White Stranded Copper THHN Wire,unbranded 50 ft. 12 gauge white stranded copper thhn wire
Vacuum,vacuum
WD 40,wd 40
WEATHERPROFF IN USE COVER,weatherproff in use cover
WELLS T STAT AND PROBE,wells t stat and probe
WELLS T STAT KNOB,wells t stat knob
Water Heater Heating Element,water heater heating element
Wire & Cable,wire & cable
Wire 14/3 commercial grade 50 ft,wire 14/3 commercial grade 50 ft
Wire coduit /outlet,wire coduit /outlet
Wire connector and jointer clip,wire connector and jointer clip
Wire connectors,wire connectors
"Wire, Conduits, and fittings","wire, conduits, and fittings"
Wireless door chime,wireless door chime
Wires and connectors,wires and connectors
Wiring,wiring
Wiring 10 awg Green,wiring 10 awg green
Wiring 10 awg Red,wiring 10 awg red
Wiring 10 awg White,wiring 10 awg white
Wiring 10 awg black,wiring 10 awg black
Working on site,working on site
Xelarator XL GR,xelarator xl gr
awg wire,awg wire
b,b
bathroom extractors,bathroom extractors
belt dressing,belt dressing
box,box
cleaning solution,cleaning solution
cleanup & testing,cleanup & testing
coil cleaner,coil cleaner
controller board,controller board
copper pipe,copper pipe
couplings,couplings
doorbell and cover,doorbell and cover
electrical wire & connectors,electrical wire & connectors
f,f
g,g
hardware,hardware
inv total,inv total
lab - 1,lab - 1
lbr,lbr
minimum labadjust,minimum labadjust
out door momentary conatact 120vrated switch,out door momentary conatact 120vrated switch
"pvc pipe fitting ,connector ,elbows mis supplies","pvc pipe fitting ,connector ,elbows mis supplies"
relay,relay
sealant,sealant
self tapping screws,self tapping screws
special order hand dryer,special order hand dryer
t,t
tap cons,tap cons
terminate power to electrical outlet,terminate power to electrical outlet
